Format Version,1.24,Take Name,Throw_006,Take Notes,,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2025-01-27 04.48.43.958 PM,Capture Start Frame,3800917,Total Frames in Take,946,Total Exported Frames,946,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,Rigid Body 001,Rigid Body 001,Rigid Body 001,Rigid Body 001,Rigid Body 001,Rigid Body 001,Rigid Body 001,Rigid Body 001:Marker 001,Rigid Body 001:Marker 001,Rigid Body 001:Marker 001,Rigid Body 001:Marker 002,Rigid Body 001:Marker 002,Rigid Body 001:Marker 002,Rigid Body 001:Marker 003,Rigid Body 001:Marker 003,Rigid Body 001:Marker 003,Rigid Body 001:Marker 004,Rigid Body 001:Marker 004,Rigid Body 001:Marker 004,rigid body free dot,rigid body free dot,rigid body free dot,rigid body free dot,rigid body free dot,rigid body free dot,rigid body free dot,rigid body free dot:Marker 001,rigid body free dot:Marker 001,rigid body free dot:Marker 001,rigid body free dot:Marker 002,rigid body free dot:Marker 002,rigid body free dot:Marker 002,rigid body free dot:Marker 003,rigid body free dot:Marker 003,rigid body free dot:Marker 003,Measurement 0,Measurement 0,Measurement 0,Rigid Body 001:Marker 001,Rigid Body 001:Marker 001,Rigid Body 001:Marker 001,Rigid Body 001:Marker 002,Rigid Body 001:Marker 002,Rigid Body 001:Marker 002,Rigid Body 001:Marker 003,Rigid Body 001:Marker 003,Rigid Body 001:Marker 003,Rigid Body 001:Marker 004,Rigid Body 001:Marker 004,Rigid Body 001:Marker 004,Unlabeled 1139,Unlabeled 1139,Unlabeled 1139
,ID,2869709FF64611EE597AB3C6E7107EB3,2869709FF64611EE597AB3C6E7107EB3,2869709FF64611EE597AB3C6E7107EB3,2869709FF64611EE597AB3C6E7107EB3,2869709FF64611EE597AB3C6E7107EB3,2869709FF64611EE597AB3C6E7107EB3,2869709FF64611EE597AB3C6E7107EB3,2869709FF64611EE597AB3C6E7107EB3,2869709FF64611EE597AB3C6E7107EB3,2869709FF64611EE597AB3C6E7107EB3,2869709FF64611EE597AB3C6E7107EB3,2869709FF64611EE597AB3C6E7107EB3,2869709FF64611EE597AB3C6E7107EB3,2869709FF64611EE597AB3C6E7107EB3,2869709FF64611EE597AB3C6E7107EB3,2869709FF64611EE597AB3C6E7107EB3,2869709FF64611EE597AB3C6E7107EB3,2869709FF64611EE597AB3C6E7107EB3,2869709FF64611EE597AB3C6E7107EB3,2EA6BB6F41E211EF597AB3C6E71083B3,2EA6BB6F41E211EF597AB3C6E71083B3,2EA6BB6F41E211EF597AB3C6E71083B3,2EA6BB6F41E211EF597AB3C6E71083B3,2EA6BB6F41E211EF597AB3C6E71083B3,2EA6BB6F41E211EF597AB3C6E71083B3,2EA6BB6F41E211EF597AB3C6E71083B3,2EA6BB6F41E211EF597AB3C6E71083B3,2EA6BB6F41E211EF597AB3C6E71083B3,2EA6BB6F41E211EF597AB3C6E71083B3,2EA6BB6F41E211EF597AB3C6E71083B3,2EA6BB6F41E211EF597AB3C6E71083B3,2EA6BB6F41E211EF597AB3C6E71083B3,2EA6BB6F41E211EF597AB3C6E71083B3,2EA6BB6F41E211EF597AB3C6E71083B3,2EA6BB6F41E211EF597AB3C6E71083B3,"14DF7844DCB711EF597AB3C6E71093B3","14DF7844DCB711EF597AB3C6E71093B3","14DF7844DCB711EF597AB3C6E71093B3","CDAF2A9BDCBD11EF597AB3C6E71093B3","CDAF2A9BDCBD11EF597AB3C6E71093B3","CDAF2A9BDCBD11EF597AB3C6E71093B3","CDAF2A9ADCBD11EF597AB3C6E71093B3","CDAF2A9ADCBD11EF597AB3C6E71093B3","CDAF2A9ADCBD11EF597AB3C6E71093B3","CDAF2A99DCBD11EF597AB3C6E71093B3","CDAF2A99DCBD11EF597AB3C6E71093B3","CDAF2A99DCBD11EF597AB3C6E71093B3","CDAF2A98DCBD11EF597AB3C6E71093B3","CDAF2A98DCBD11EF597AB3C6E71093B3","CDAF2A98DCBD11EF597AB3C6E71093B3","E2CAFE419D5DCB511EF","E2CAFE419D5DCB511EF","E2CAFE419D5DCB511EF"
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,W,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0,0.000000,0.705710,0.704482,0.066833,0.034804,-0.674755,0.856857,0.368932,-0.642063,0.798831,0.371090,-0.629020,0.919548,0.378599,-0.719064,0.917516,0.365328,-0.708874,0.791771,0.360802,-0.352803,-0.292165,0.573061,0.679537,-0.624402,0.849600,0.391131,-0.616086,0.826327,0.407811,-0.598117,0.926980,0.408354,-0.659004,0.795493,0.357228,,,,-0.642563,0.798817,0.371078,-0.629149,0.919216,0.378520,-0.719109,0.917394,0.365352,-0.707577,0.792759,0.360925,,,
1,0.008333,0.705720,0.704474,0.066795,0.034829,-0.674761,0.856849,0.368931,-0.642071,0.798822,0.371093,-0.629024,0.919539,0.378592,-0.719069,0.917509,0.365323,-0.708882,0.791763,0.360807,-0.352803,-0.292165,0.573061,0.679537,-0.624402,0.849600,0.391131,-0.616086,0.826327,0.407811,-0.598117,0.926980,0.408354,-0.659004,0.795493,0.357228,,,,-0.642576,0.798815,0.371079,-0.629152,0.919205,0.378516,-0.719109,0.917378,0.365344,-0.707583,0.792765,0.360940,,,
2,0.016667,0.705764,0.704434,0.066779,0.034792,-0.674757,0.856849,0.368938,-0.642074,0.798818,0.371096,-0.629012,0.919534,0.378598,-0.719058,0.917514,0.365336,-0.708886,0.791768,0.360815,-0.352803,-0.292165,0.573061,0.679537,-0.624402,0.849600,0.391131,-0.616086,0.826327,0.407811,-0.598117,0.926980,0.408354,-0.659004,0.795493,0.357228,,,,-0.642591,0.798793,0.371076,-0.629147,0.919222,0.378525,-0.719085,0.917391,0.365359,-0.707576,0.792753,0.360954,,,
3,0.025000,0.705791,0.704416,0.066728,0.034698,-0.674747,0.856849,0.368934,-0.642066,0.798816,0.371081,-0.628997,0.919530,0.378589,-0.719045,0.917516,0.365345,-0.708882,0.791770,0.360814,-0.352803,-0.292165,0.573061,0.679537,-0.624402,0.849600,0.391131,-0.616086,0.826327,0.407811,-0.598117,0.926980,0.408354,-0.659004,0.795493,0.357228,,,,-0.642571,0.798784,0.371053,-0.629141,0.919206,0.378517,-0.719075,0.917408,0.365363,-0.707573,0.792747,0.360965,,,
4,0.033333,0.705747,0.704445,0.066803,0.034879,-0.674750,0.856850,0.368940,-0.642065,0.798820,0.371108,-0.629009,0.919537,0.378602,-0.719052,0.917513,0.365326,-0.708876,0.791766,0.360818,-0.352803,-0.292165,0.573061,0.679537,-0.624402,0.849600,0.391131,-0.616086,0.826327,0.407811,-0.598117,0.926980,0.408354,-0.659004,0.795493,0.357228,,,,-0.642586,0.798823,0.371093,-0.629144,0.919196,0.378523,-0.719085,0.917388,0.365349,-0.707573,0.792745,0.360948,,,
5,0.041667,0.705715,0.704474,0.066838,0.034848,-0.674751,0.856856,0.368936,-0.642061,0.798829,0.371099,-0.629016,0.919546,0.378604,-0.719059,0.917515,0.365326,-0.708871,0.791770,0.360807,-0.352803,-0.292165,0.573061,0.679537,-0.624402,0.849600,0.391131,-0.616086,0.826327,0.407811,-0.598117,0.926980,0.408354,-0.659004,0.795493,0.357228,,,,-0.642562,0.798813,0.371076,-0.629146,0.919216,0.378529,-0.719099,0.917397,0.365347,-0.707587,0.792747,0.360944,,,
6,0.050000,0.705737,0.704454,0.066815,0.034878,-0.674761,0.856854,0.368935,-0.642075,0.798826,0.371102,-0.629022,0.919542,0.378598,-0.719065,0.917516,0.365321,-0.708885,0.791770,0.360810,-0.352803,-0.292165,0.573061,0.679537,-0.624402,0.849600,0.391131,-0.616086,0.826327,0.407811,-0.598117,0.926980,0.408354,-0.659004,0.795493,0.357228,,,,-0.642573,0.798805,0.371082,-0.629145,0.919220,0.378525,-0.719108,0.917390,0.365340,-0.707599,0.792768,0.360949,,,
7,0.058333,0.705758,0.704435,0.066787,0.034883,-0.674751,0.856857,0.368934,-0.642068,0.798826,0.371103,-0.629008,0.919543,0.378594,-0.719051,0.917522,0.365319,-0.708879,0.791775,0.360814,-0.352803,-0.292165,0.573061,0.679537,-0.624402,0.849600,0.391131,-0.616086,0.826327,0.407811,-0.598117,0.926980,0.408354,-0.659004,0.795493,0.357228,,,,-0.642577,0.798809,0.371092,-0.629135,0.919220,0.378515,-0.719091,0.917400,0.365343,-0.707586,0.792753,0.360937,,,
8,0.066667,0.705771,0.704428,0.066744,0.034826,-0.674747,0.856855,0.368942,-0.642065,0.798824,0.371105,-0.629001,0.919540,0.378596,-0.719046,0.917521,0.365334,-0.708878,0.791774,0.360825,-0.352803,-0.292165,0.573061,0.679537,-0.624402,0.849600,0.391131,-0.616086,0.826327,0.407811,-0.598117,0.926980,0.408354,-0.659004,0.795493,0.357228,,,,-0.642569,0.798809,0.371084,-0.629137,0.919205,0.378522,-0.719084,0.917402,0.365353,-0.707578,0.792762,0.360966,,,
9,0.075000,0.705769,0.704424,0.066818,0.034810,-0.674749,0.856854,0.368933,-0.642067,0.798822,0.371091,-0.629003,0.919537,0.378599,-0.719048,0.917520,0.365329,-0.708879,0.791773,0.360805,-0.352803,-0.292165,0.573061,0.679537,-0.624402,0.849600,0.391131,-0.616086,0.826327,0.407811,-0.598117,0.926980,0.408354,-0.659004,0.795493,0.357228,,,,-0.642580,0.798807,0.371069,-0.629147,0.919209,0.378525,-0.719076,0.917401,0.365349,-0.707580,0.792746,0.360948,,,
10,0.083333,0.705716,0.704483,0.066777,0.034782,-0.674754,0.856850,0.368936,-0.642062,0.798824,0.371093,-0.629018,0.919541,0.378596,-0.719063,0.917509,0.365334,-0.708874,0.791764,0.360813,-0.352803,-0.292165,0.573061,0.679537,-0.624402,0.849600,0.391131,-0.616086,0.826327,0.407811,-0.598117,0.926980,0.408354,-0.659004,0.795493,0.357228,,,,-0.642572,0.798817,0.371079,-0.629161,0.919207,0.378516,-0.719093,0.917384,0.365359,-0.707576,0.792748,0.360946,,,
11,0.091667,0.705749,0.704445,0.066774,0.034874,-0.674750,0.856849,0.368931,-0.642065,0.798820,0.371099,-0.629008,0.919536,0.378588,-0.719052,0.917513,0.365316,-0.708876,0.791766,0.360812,-0.352803,-0.292165,0.573061,0.679537,-0.624402,0.849600,0.391131,-0.616086,0.826327,0.407811,-0.598117,0.926980,0.408354,-0.659004,0.795493,0.357228,,,,-0.642568,0.798807,0.371091,-0.629151,0.919201,0.378506,-0.719079,0.917392,0.365340,-0.707588,0.792750,0.360935,,,
12,0.100000,0.705788,0.704411,0.066753,0.034821,-0.674751,0.856852,0.368933,-0.642071,0.798819,0.371095,-0.629001,0.919534,0.378589,-0.719047,0.917520,0.365327,-0.708884,0.791773,0.360815,-0.352803,-0.292165,0.573061,0.679537,-0.624402,0.849600,0.391131,-0.616086,0.826327,0.407811,-0.598117,0.926980,0.408354,-0.659004,0.795493,0.357228,,,,-0.642574,0.798803,0.371084,-0.629137,0.919206,0.378510,-0.719083,0.917397,0.365351,-0.707588,0.792764,0.360939,,,
13,0.108333,0.705749,0.704448,0.066761,0.034857,-0.674766,0.856854,0.368933,-0.642080,0.798825,0.371100,-0.629023,0.919541,0.378589,-0.719068,0.917517,0.365321,-0.708892,0.791771,0.360816,-0.352803,-0.292165,0.573061,0.679537,-0.624402,0.849600,0.391131,-0.616086,0.826327,0.407811,-0.598117,0.926980,0.408354,-0.659004,0.795493,0.357228,,,,-0.642583,0.798815,0.371084,-0.629157,0.919207,0.378514,-0.719110,0.917393,0.365340,-0.707592,0.792768,0.360952,,,
14,0.116667,0.705720,0.704476,0.066778,0.034840,-0.674758,0.856860,0.368937,-0.642068,0.798833,0.371102,-0.629021,0.919550,0.378596,-0.719066,0.917519,0.365327,-0.708879,0.791773,0.360817,-0.352803,-0.292165,0.573061,0.679537,-0.624402,0.849600,0.391131,-0.616086,0.826327,0.407811,-0.598117,0.926980,0.408354,-0.659004,0.795493,0.357228,,,,-0.642575,0.798826,0.371078,-0.629148,0.919220,0.378526,-0.719105,0.917389,0.365344,-0.707577,0.792774,0.360964,,,
15,0.125000,0.705733,0.704462,0.066781,0.034834,-0.674754,0.856858,0.368935,-0.642066,0.798830,0.371098,-0.629014,0.919547,0.378594,-0.719059,0.917519,0.365326,-0.708877,0.791773,0.360813,-0.352803,-0.292165,0.573061,0.679537,-0.624402,0.849600,0.391131,-0.616086,0.826327,0.407811,-0.598117,0.926980,0.408354,-0.659004,0.795493,0.357228,,,,-0.642588,0.798831,0.371081,-0.629140,0.919218,0.378519,-0.719095,0.917386,0.365347,-0.707570,0.792761,0.360947,,,
16,0.133333,0.705770,0.704436,0.066743,0.034716,-0.674749,0.856860,0.368937,-0.642064,0.798830,0.371086,-0.629002,0.919545,0.378593,-0.719050,0.917526,0.365345,-0.708879,0.791779,0.360815,-0.352803,-0.292165,0.573061,0.679537,-0.624402,0.849600,0.391131,-0.616086,0.826327,0.407811,-0.598117,0.926980,0.408354,-0.659004,0.795493,0.357228,,,,-0.642572,0.798811,0.371071,-0.629138,0.919213,0.378515,-0.719086,0.917410,0.365370,-0.707576,0.792763,0.360944,,,
17,0.141667,0.705787,0.704407,0.066804,0.034828,-0.674756,0.856848,0.368937,-0.642076,0.798815,0.371098,-0.629007,0.919530,0.378600,-0.719052,0.917517,0.365330,-0.708889,0.791769,0.360811,-0.352803,-0.292165,0.573061,0.679537,-0.624402,0.849600,0.391131,-0.616086,0.826327,0.407811,-0.598117,0.926980,0.408354,-0.659004,0.795493,0.357228,,,,-0.642595,0.798809,0.371084,-0.629143,0.919203,0.378522,-0.719081,0.917386,0.365354,-0.707578,0.792764,0.360940,,,
18,0.150000,0.705759,0.704442,0.066752,0.034780,-0.674753,0.856844,0.368930,-0.642068,0.798814,0.371087,-0.629009,0.919530,0.378587,-0.719055,0.917508,0.365329,-0.708881,0.791762,0.360810,-0.352803,-0.292165,0.573061,0.679537,-0.624402,0.849600,0.391131,-0.616086,0.826327,0.407811,-0.598117,0.926980,0.408354,-0.659004,0.795493,0.357228,,,,-0.642572,0.798792,0.371072,-0.629138,0.919217,0.378511,-0.719090,0.917379,0.365351,-0.707589,0.792757,0.360940,,,
19,0.158333,0.705742,0.704460,0.066731,0.034815,-0.674759,0.856858,0.368942,-0.642072,0.798830,0.371105,-0.629018,0.919547,0.378594,-0.719063,0.917520,0.365335,-0.708884,0.791774,0.360827,-0.352803,-0.292165,0.573061,0.679537,-0.624402,0.849600,0.391131,-0.616086,0.826327,0.407811,-0.598117,0.926980,0.408354,-0.659004,0.795493,0.357228,,,,-0.642578,0.798818,0.371089,-0.629160,0.919212,0.378516,-0.719094,0.917399,0.365358,-0.707583,0.792763,0.360959,,,
20,0.166667,0.705687,0.704509,0.066770,0.034832,-0.674758,0.856858,0.368937,-0.642062,0.798834,0.371101,-0.629026,0.919553,0.378594,-0.719071,0.917513,0.365327,-0.708872,0.791769,0.360817,-0.352803,-0.292165,0.573061,0.679537,-0.624402,0.849600,0.391131,-0.616086,0.826327,0.407811,-0.598117,0.926980,0.408354,-0.659004,0.795493,0.357228,,,,-0.642563,0.798817,0.371078,-0.629152,0.919219,0.378522,-0.719117,0.917392,0.365343,-0.707564,0.792764,0.360958,,,
21,0.175000,0.705759,0.704443,0.066742,0.034794,-0.674752,0.856860,0.368939,-0.642067,0.798830,0.371098,-0.629008,0.919546,0.378594,-0.719054,0.917524,0.365336,-0.708880,0.791778,0.360821,-0.352803,-0.292165,0.573061,0.679537,-0.624402,0.849600,0.391131,-0.616086,0.826327,0.407811,-0.598117,0.926980,0.408354,-0.659004,0.795493,0.357228,,,,-0.642578,0.798810,0.371079,-0.629144,0.919211,0.378517,-0.719087,0.917412,0.365358,-0.707579,0.792750,0.360956,,,
